Curso,URL,Número Módulo,Nome Módulo,LectureID,Número Aula,Nome Aula,Vimeo ID,Tempo Vídeo,Tipo Download,Nome Download,Acesso Download,Artigo,Link Artigo,Nome Link Referência,Links Referência,Exercício
Renda extra sem atrapalhar seu trabalho,,1,Fontes alternativas de renda passiva e ativa,,1,Renda ativa x Renda passiva,https://vimeo.com/516288235,00:06:48,PDF,Renda extra sem atrapalhar seu trabalho,https://drive.google.com/file/d/1afxaMYWbzV9adw_tmKYXlAl3boUe-dwY/view?usp=sharing,,,,,
Renda extra sem atrapalhar seu trabalho,,1,Fontes alternativas de renda passiva e ativa,,2,Por que viver apenas de uma fonte de renda?,https://vimeo.com/516288290,00:03:47,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,1,Fontes alternativas de renda passiva e ativa,,3,Como obter renda passiva?,https://vimeo.com/516288069,00:04:25,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,1,Fontes alternativas de renda passiva e ativa,,4,Meus exemplos de renda (semi) passiva,https://vimeo.com/521413835,00:05:13,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,1,Fontes alternativas de renda passiva e ativa,,5,Exemplos de hobbies que podem te gerar renda adicional (passiva e ativa),https://vimeo.com/516288181,00:03:10,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,2,Exemplos reais de hobbies que podem ser usados para se ter uma renda ativa adicional,,6,Exemplos reais de hobbies que podem ser usados para se ter uma renda ativa adicional,https://vimeo.com/518278750,00:14:38,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,3,Ferramentas de marketing digital para divulgar seu produto ou serviço na internet,,7,Vamos falar do seu produto,https://vimeo.com/516288577,00:05:35,PDF,Apresentação - Renda Extra (Diandra),https://drive.google.com/file/d/1axFoZ-U43N412oMbC0pxBk-AHirRVxCw/view?usp=sharing,,,,,
Renda extra sem atrapalhar seu trabalho,,3,Ferramentas de marketing digital para divulgar seu produto ou serviço na internet,,8,Quais são os melhores canais de venda - WhatsApp,https://vimeo.com/516288690,00:05:28,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,3,Ferramentas de marketing digital para divulgar seu produto ou serviço na internet,,9,Quais são os melhores canais de venda - Instagram,https://vimeo.com/516288880,00:09:58,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,3,Ferramentas de marketing digital para divulgar seu produto ou serviço na internet,,10,Ferramentas capazes de te ajudar a divulgá-lo,https://vimeo.com/516288327,00:05:04,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,3,Ferramentas de marketing digital para divulgar seu produto ou serviço na internet,,11,Upsell e fidelização de clientes,https://vimeo.com/516288398,00:04:57,,,,,,,,
Renda extra sem atrapalhar seu trabalho,,3,Ferramentas de marketing digital para divulgar seu produto ou serviço na internet,,12,Organização e preparação,https://vimeo.com/516288492,00:05:04,.xls,Renda Extra - Receitas e Despesas,https://drive.google.com/file/d/1b3yXIsyidftwx3xQAX1Zrit-9KR5aRrl/view?usp=sharing,,,,,
Renda extra sem atrapalhar seu trabalho,,4,Conclusão,,13,Conclusão,https://vimeo.com/516288551,00:01:14,,,,,,,,
